subjectName,OwnerGroup,LessonTitle,LessonAdminURL,Content Map Title,Resource Subject,Resource Level,CM EndDate,status
Science,Sec_Sci,Heredity [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/297b3ee8-e67c-478c-b4b6-d29e2b86dd86,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Effects of Acids and Alkalis on Indicators [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/298825d3-4402-4fa2-8829-b3b5cbc37af8,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Energy and Work Done [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/2b320407-964d-44a0-a98a-f404fe5ebdc3,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Chemical Formulae [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/349d433a-f919-4f41-a351-f3417c54af6c,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Solving Problems About Speed [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/365a6672-af11-4cc3-9384-c1ba1c1c5cbd,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Plastic and Us [LSS E/N(A)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/3c417fa5-3466-4dc8-9edf-368fa9d49d2f,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Transport in Plants [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/3f09c53f-a406-4743-b6fb-64849d97c62d,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Human Digestive System [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/438c319a-1118-4543-9887-5e0c6dd91817,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Energy Flow via Photosynthesis and Respiration [LSS (Exp/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/4859c1f2-689c-4aa7-9d7a-5872db5311d4,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
Science,Sec_Sci,Measurement [LSS (E/NA)],https://vle.learning.moe.edu.sg/moe-library/admin/lesson/view/4cfdefcf-6599-4f33-bb72-33d3f76b0acb,LOWER SEC SCIENCE (EXP) (2013) - LOWER SEC SCIENCE (NA) (2013),Science,Secondary 1 Express - Secondary 2 Express - Secondary 1 Normal (A) - Secondary 2 Normal (A),31/12/21,APPROVED
